,,,,
RCP85__EMISSIONS____________________________,,,,
COLUMN_DESCRIPTION________________________________________,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,
COLUMN:,RCP85,RCP60,RCP45,RCP26
UNITS:,GtC/yr,GtC/yr,GtC/yr,GtC/yr
v YEARS/GAS >,FossilCO2,FossilCO2,FossilCO2,FossilCO2
1981,5.168,5.168,5.168,5.168
1982,5.127,5.127,5.127,5.127
1983,5.11,5.11,5.11,5.11
1984,5.29,5.29,5.29,5.29
1985,5.444,5.444,5.444,5.444
1986,5.61,5.61,5.61,5.61
1987,5.753,5.753,5.753,5.753
1988,5.964,5.964,5.964,5.964
1989,6.089,6.089,6.089,6.089
1990,6.144,6.144,6.144,6.144
1991,6.235,6.235,6.235,6.235
1992,6.118,6.118,6.118,6.118
1993,6.124,6.124,6.124,6.124
1994,6.242,6.242,6.242,6.242
1995,6.372,6.372,6.372,6.372
1996,6.51,6.51,6.51,6.51
1997,6.619,6.619,6.619,6.619
1998,6.588,6.588,6.588,6.588
1999,6.569,6.569,6.569,6.569
2000,6.735,6.735,6.735,6.735
2001,6.8959,6.8959,6.8959,6.8959
2002,6.949,6.949,6.949,6.949
2003,7.286,7.286,7.286,7.286
2004,7.6719,7.6719,7.6719,7.6719
2005,7.971,7.971,7.971,7.971
2006,8.1615,8.081,8.0985,8.1427
2007,8.3523,8.1899,8.226,8.3136
2008,8.5434,8.2971667,8.3531333,8.4828667
2009,8.7345,8.4044333,8.4802667,8.6521333
2010,8.9256,8.5117,8.6074,8.8214
2011,9.18679,8.55557,8.73381,8.86803
2012,9.44798,8.59944,8.86022,8.91466
2013,9.70917,8.64331,8.98663,8.96129
2014,9.97036,8.68718,9.11304,9.00792
2015,10.23155,8.73105,9.23945,9.05455
2016,10.49274,8.77492,9.36586,9.10118
2017,10.75393,8.81879,9.49227,9.14781
2018,11.01512,8.86266,9.61868,9.19444
2019,11.27631,8.90653,9.74509,9.24107
2020,11.5375,8.9504,9.8715,9.2877
2021,11.76766,9.05487,9.97968,9.07462
2022,11.99782,9.15934,10.08786,8.86154
2023,12.22798,9.26381,10.19604,8.64846
2024,12.45814,9.36828,10.30422,8.43538
2025,12.6883,9.47275,10.4124,8.2223
2026,12.91846,9.57722,10.52058,8.00922
2027,13.14862,9.68169,10.62876,7.79614
2028,13.37878,9.78616,10.73694,7.58306
2029,13.60894,9.89063,10.84512,7.36998
2030,13.8391,9.9951,10.9533,7.1569
2031,14.13385,10.15102,10.99177,6.8947
2032,14.4286,10.30694,11.03024,6.6325
2033,14.72335,10.46286,11.06871,6.3703
2034,15.0181,10.61878,11.10718,6.1081
2035,15.31285,10.7747,11.14565,5.8459
2036,15.6076,10.93062,11.18412,5.5837
2037,15.90235,11.08654,11.22259,5.3215
2038,16.1971,11.24246,11.26106,5.0593
2039,16.49185,11.39838,11.29953,4.7971
2040,16.7866,11.5543,11.338,4.5349
2041,17.1284,11.70325,11.30733,4.39997
2042,17.4702,11.8522,11.27666,4.26504
2043,17.812,12.00115,11.24599,4.13011
2044,18.1538,12.1501,11.21532,3.99518
2045,18.4956,12.29905,11.18465,3.86025
2046,18.8374,12.448,11.15398,3.72532
2047,19.1792,12.59695,11.12331,3.59039
2048,19.521,12.7459,11.09264,3.45546
2049,19.8628,12.89485,11.06197,3.32053
2050,20.2046,13.0438,11.0313,3.1856
2051,20.54375,13.22186,10.86829,3.00896
2052,20.8829,13.39992,10.70528,2.83232
2053,21.22205,13.57798,10.54227,2.65568
2054,21.5612,13.75604,10.37926,2.47904
2055,21.90035,13.9341,10.21625,2.3024
2056,22.2395,14.11216,10.05324,2.12576
2057,22.57865,14.29022,9.89023,1.94912
2058,22.9178,14.46828,9.72722,1.77248
2059,23.25695,14.64634,9.56421,1.59584
2060,23.5961,14.8244,9.4012,1.4192
2061,23.83271,14.99256,9.1729,1.28885
2062,24.06932,15.16072,8.9446,1.1585
2063,24.30593,15.32888,8.7163,1.02815
2064,24.54254,15.49704,8.488,0.8978
2065,24.77915,15.6652,8.2597,0.76745
2066,25.01576,15.83336,8.0314,0.6371
2067,25.25237,16.00152,7.8031,0.50675
2068,25.48898,16.16968,7.5748,0.3764
2069,25.72559,16.33784,7.3465,0.24605
2070,25.9622,16.506,7.1182,0.1157
2071,26.10659,16.58346,6.82459,0.06083
2072,26.25098,16.66092,6.53098,0.00596
2073,26.39537,16.73838,6.23737,-0.04891
2074,26.53976,16.81584,5.94376,-0.10378
2075,26.68415,16.8933,5.65015,-0.15865
2076,26.82854,16.97076,5.35654,-0.21352
2077,26.97293,17.04822,5.06293,-0.26839
2078,27.11732,17.12568,4.76932,-0.32326
2079,27.26171,17.20314,4.47571,-0.37813
2080,27.4061,17.2806,4.1821,-0.433
2081,27.49916,16.98385,4.18314,-0.47674
2082,27.59222,16.6871,4.18418,-0.52048
2083,27.68528,16.39035,4.18522,-0.56422
2084,27.77834,16.0936,4.18626,-0.60796
2085,27.8714,15.79685,4.1873,-0.6517
2086,27.96446,15.5001,4.18834,-0.69544
2087,28.05752,15.20335,4.18938,-0.73918
2088,28.15058,14.9066,4.19042,-0.78292
2089,28.24364,14.60985,4.19146,-0.82666
2090,28.3367,14.3131,4.1925,-0.8704
2091,28.37703,14.25712,4.19355,-0.87644
2092,28.41736,14.20114,4.1946,-0.88248
2093,28.45769,14.14516,4.19565,-0.88852
2094,28.49802,14.08918,4.1967,-0.89456
2095,28.53835,14.0332,4.19775,-0.9006
2096,28.57868,13.97722,4.1988,-0.90664
2097,28.61901,13.92124,4.19985,-0.91268
2098,28.65934,13.86526,4.2009,-0.91872
2099,28.69967,13.80928,4.20195,-0.92476
2100,28.74,13.7533,4.203,-0.9308
2101,28.74,13.548236,4.09086,-0.9308
2102,28.74,13.343172,3.97872,-0.9308
2103,28.74,13.138108,3.86658,-0.9308
2104,28.74,12.933044,3.75444,-0.9308
2105,28.74,12.72798,3.6423,-0.9308
2106,28.74,12.522916,3.53016,-0.9308
2107,28.74,12.317852,3.41802,-0.9308
2108,28.74,12.112788,3.30588,-0.9308
2109,28.74,11.907724,3.19374,-0.9308
2110,28.74,11.70266,3.0816,-0.9308
2111,28.74,11.497596,3.00189,-0.9308
2112,28.74,11.292532,2.92218,-0.9308
2113,28.74,11.087468,2.84247,-0.9308
2114,28.74,10.882404,2.76276,-0.9308
2115,28.74,10.67734,2.68305,-0.9308
2116,28.74,10.472276,2.60334,-0.9308
2117,28.74,10.267212,2.52363,-0.9308
2118,28.74,10.062148,2.44392,-0.9308
2119,28.74,9.857084,2.36421,-0.9308
2120,28.74,9.65202,2.2845,-0.9308
2121,28.74,9.446956,2.25245,-0.9308
2122,28.74,9.241892,2.2204,-0.9308
2123,28.74,9.036828,2.18835,-0.9308
2124,28.74,8.831764,2.1563,-0.9308
2125,28.74,8.6267,2.12425,-0.9308
2126,28.74,8.4216348,2.0922,-0.9308
2127,28.74,8.2165696,2.06015,-0.9308
2128,28.74,8.0115043,2.0281,-0.9308
2129,28.74,7.8064391,1.99605,-0.9308
2130,28.74,7.6013739,1.964,-0.9308
2131,28.74,7.3963087,1.93853,-0.9308
2132,28.74,7.1912435,1.91306,-0.9308
2133,28.74,6.9861783,1.88759,-0.9308
2134,28.74,6.781113,1.86212,-0.9308
2135,28.74,6.5760478,1.83665,-0.9308
2136,28.74,6.3709826,1.81118,-0.9308
2137,28.74,6.1659174,1.78571,-0.9308
2138,28.74,5.9608522,1.76024,-0.9308
2139,28.74,5.755787,1.73477,-0.9308
2140,28.74,5.5507217,1.7093,-0.9308
2141,28.74,5.3456565,1.6831375,-0.9308
2142,28.74,5.1405913,1.656975,-0.9308
2143,28.74,4.9355261,1.6308125,-0.9308
2144,28.74,4.7304609,1.60465,-0.9308
2145,28.74,4.5253957,1.5784875,-0.9308
2146,28.74,4.3203304,1.552325,-0.9308
2147,28.74,4.1152652,1.5261625,-0.9308
2148,28.74,3.9102,1.5,-0.9308
2149,28.74,3.5678,1.5354,-0.9308
2150,28.74,3.5062,1.5468,-0.9308
2151,28.470205,3.4375,1.5531,-0.9308
2152,28.20041,3.3717,1.5547,-0.9308
2153,27.930615,3.3114,1.5527,-0.9308
2154,27.66082,3.2545,1.5482,-0.9308
2155,27.391026,3.2005,1.5419,-0.9308
2156,27.121231,3.15264,1.5324,-0.9308
2157,26.851436,3.10478,1.5229,-0.9308
2158,26.581641,3.05692,1.5134,-0.9308
2159,26.311846,3.00906,1.5039,-0.9308
2160,26.042051,2.9612,1.4944,-0.9308
2161,25.772256,2.92104,1.48311,-0.9308
2162,25.502461,2.88088,1.47182,-0.9308
2163,25.232666,2.84072,1.46053,-0.9308
2164,24.962871,2.80056,1.44924,-0.9308
2165,24.693077,2.7604,1.43795,-0.9308
2166,24.423282,2.7258,1.42666,-0.9308
2167,24.153487,2.6912,1.41537,-0.9308
2168,23.883692,2.6566,1.40408,-0.9308
2169,23.613897,2.622,1.39279,-0.9308
2170,23.344102,2.5874,1.3815,-0.9308
2171,23.074307,2.55704,1.3712,-0.9308
2172,22.804512,2.52668,1.3609,-0.9308
